run_name,retriever_model_key,retrieval_depth,num_questions,hit_at_1,hit_at_3,hit_at_10,mrr,ndcg_at_10,strict_qa_hit_at_1,strict_qa_hit_at_3,strict_qa_hit_at_10,strict_qa_mrr,doc_hit_at_1,doc_hit_at_3,doc_hit_at_10,doc_mrr,focus_hit_at_1,focus_hit_at_3,focus_hit_at_10,focus_mrr,avg_num_relevant_qa_uids
rag_bge_small_k10,bge_small,10,200,0.96,0.995,1.0,0.97875,0.9772255223799842,0.845,0.98,1.0,0.9105833333333334,0.975,1.0,1.0,0.9875,0.975,1.0,1.0,0.9875,1.47
rag_bm25_k10,bm25,10,200,0.685,0.905,0.98,0.7976785714285713,0.8259807719779714,0.605,0.825,0.96,0.7241349206349206,0.915,0.97,1.0,0.947297619047619,0.935,0.98,1.0,0.960047619047619,1.47
rag_hybrid_k10,hybrid,10,200,0.905,0.985,1.0,0.9443333333333334,0.9537650623924159,0.775,0.945,1.0,0.8664642857142857,0.95,1.0,1.0,0.975,0.965,1.0,1.0,0.9825,1.47
rag_minilm_k10,minilm,10,200,0.805,0.97,0.995,0.8866666666666667,0.9039261364857434,0.69,0.92,0.995,0.8124484126984127,0.915,0.985,1.0,0.9529166666666667,0.93,0.985,1.0,0.9604166666666667,1.47
